Id,PostId,Accepted,ParentId
0,0,2,1
1,5,1,3
2,9,2,3
3,12,2,6
4,13,2,5
5,14,2,3
6,15,1,1
7,16,2,3
8,18,1,6
9,19,2,6
10,20,2,2
11,24,2,3
12,27,2,6
13,28,2,3
14,29,1,10
15,32,1,14
16,34,2,12
17,38,2,19
18,41,2,15
19,42,2,3
20,43,2,14
21,45,2,22
22,46,2,15
23,48,2,20
24,49,1,18
25,52,2,7
26,55,1,16
27,56,2,12
28,57,2,25
29,59,1,2
30,60,2,24
31,61,1,15
32,63,2,20
33,64,1,26
34,65,1,28
35,66,2,28
36,67,2,23
37,69,2,28
38,70,2,6
39,71,2,29
40,72,1,19
41,74,2,5
42,76,2,31
43,77,2,20
44,78,1,27
45,79,2,28
46,80,1,30
47,81,2,31
48,83,2,32
49,84,2,23
50,85,1,25
51,86,2,25
52,89,1,23
53,90,2,32
54,91,1,13
55,94,1,32
56,96,2,32
57,98,2,1
58,99,2,31
59,101,2,17
60,102,2,23
61,104,1,35
62,105,2,37
63,107,2,37
64,108,2,37
65,110,1,36
66,111,1,22
67,112,2,37
68,115,2,37
69,116,2,40
70,117,2,40
71,119,2,41
72,120,2,41
73,121,2,41
74,123,2,41
75,126,2,43
76,127,2,43
77,129,2,43
78,131,1,45
79,132,2,43
80,133,2,4
81,135,1,4
82,137,2,42
83,139,2,47
84,140,2,47
85,141,2,37
86,142,2,47
87,143,2,42
88,144,2,47
89,147,1,48
90,148,2,48
91,149,1,49
92,150,2,43
93,151,1,41
94,153,2,8
95,154,2,1
96,157,2,51
97,159,2,37
98,160,2,37
99,162,2,51
100,163,2,25
101,164,2,48
102,167,2,49
103,169,2,48
104,171,2,53
105,172,2,55
106,174,1,57
107,176,2,12
108,177,2,59
109,178,2,3
110,179,1,56
111,180,2,48
112,182,2,59
113,184,2,18
114,185,2,42
115,187,2,60
116,188,2,54
117,189,2,13
118,190,2,57
119,191,1,44
120,193,2,55
121,197,2,65
122,198,1,52
123,199,2,63
124,200,1,63
125,201,2,6
126,202,2,47
127,204,2,65
128,207,1,54
129,208,2,68
130,209,1,68
