Id,CreationDate,PostId,RelatedPostId,LinkTypeId
108,2010-07-21 14:47,395,173,1
145,2010-07-23 16:30,548,539,1
217,2010-07-26 20:12,375,30,1
263,2010-07-27 16:00,769,31,1
264,2010-07-27 16:00,769,6,1
272,2010-07-27 17:19,790,298,1
281,2010-07-27 23:22,715,7,1
338,2010-07-28 19:36,834,577,1
360,2010-07-29 19:01,614,170,1
478,2010-08-01 12:08,222,213,1
479,2010-08-01 12:08,222,146,1
558,2010-08-04 11:21,886,6,1
559,2010-08-04 11:21,886,372,1
583,2010-08-04 15:57,1205,856,1
587,2010-08-04 22:37,1194,6,1
661,2010-08-09 10:49,1289,53,1
668,2010-08-09 12:45,1437,1289,1
681,2010-08-10 1:27,1385,1268,1
716,2010-08-11 14:06,1501,7,1
717,2010-08-11 14:06,1501,973,1
726,2010-08-11 14:59,1207,1142,1
737,2010-08-11 18:57,1536,1052,1
740,2010-08-11 20:39,1521,6,1
754,2010-08-12 7:09,1413,1583,1
776,2010-08-12 15:18,1583,1412,1
781,2010-08-12 18:12,1272,47,1
831,2010-08-13 11:42,672,22,1
836,2010-08-13 17:42,1601,1444,1
837,2010-08-13 17:42,1601,1386,1
855,2010-08-14 23:07,1580,1149,1
875,2010-08-16 18:27,1749,1123,1
880,2010-08-17 5:27,396,257,1
895,2010-08-17 21:28,1780,124,1
901,2010-08-18 12:41,887,841,1
909,2010-08-18 16:19,1813,575,1
914,2010-08-18 21:49,1454,899,1
939,2010-08-21 18:18,1352,1815,1
955,2010-08-22 14:07,1955,1645,1
1006,2010-08-25 6:02,924,920,1
1068,2010-08-26 15:40,2093,1687,1
1069,2010-08-26 15:40,2093,1112,1
1073,2010-08-27 6:56,2149,1709,1
1082,2010-08-27 10:41,2086,1961,1
1083,2010-08-27 10:41,2086,539,1
1095,2010-08-27 15:15,2154,1228,1
1131,2010-08-29 12:04,490,880,1
1134,2010-08-29 17:15,2140,1169,1
1135,2010-08-29 19:18,2067,2024,1
1140,2010-08-30 13:44,354,118,1
1143,2010-08-30 15:02,145,7,1
1153,2010-08-31 14:23,2171,224,1
1154,2010-08-31 14:23,2171,216,1
1156,2010-08-31 17:12,2223,1963,1
1169,2010-09-01 11:31,1676,73,1
1210,2010-09-01 17:15,2282,1676,1
1211,2010-09-01 17:15,2282,2269,1
1224,2010-09-02 7:13,880,490,1
1283,2010-09-06 11:41,2401,2374,1
1307,2010-09-06 18:57,2385,1289,1
8809,2010-09-07 22:20,2410,1292,1
10783,2010-09-08 6:40,2423,414,1
17469,2010-09-10 10:48,26,118,1
18942,2010-09-10 19:50,652,421,1
22399,2010-09-12 15:48,2476,369,1
23659,2010-09-13 9:18,2597,183,1
26940,2010-09-14 14:13,1223,1142,1
28839,2010-09-15 16:53,1799,859,1
28840,2010-09-15 16:53,1799,1324,1
29591,2010-09-15 22:20,1995,1799,1
30954,2010-09-16 12:31,2670,665,1
31174,2010-09-16 14:17,1460,1444,1
32441,2010-09-16 23:06,1016,577,1
33045,2010-09-17 6:40,2742,1812,1
34666,2010-09-17 21:30,2602,2516,1
34884,2010-09-18 2:43,1761,485,1
35150,2010-09-18 8:21,2245,534,1
36817,2010-09-19 9:28,2787,276,1
36818,2010-09-19 9:28,2787,166,1
36867,2010-09-19 9:34,1815,1352,1
36868,2010-09-19 9:34,1815,2770,1
38448,2010-09-19 23:57,2248,203,1
38449,2010-09-19 23:57,2248,10,1
38533,2010-09-20 0:29,195,411,1
38800,2010-09-20 4:14,2615,2572,1
39025,2010-09-20 7:19,2846,2597,1
41963,2010-09-21 9:22,2894,1807,1
42256,2010-09-21 12:01,2892,2860,1
42257,2010-09-21 12:01,2892,2572,1
45213,2010-09-22 19:57,2938,2918,1
46450,2010-09-23 14:00,485,414,1
46451,2010-09-23 14:00,485,1761,1
48587,2010-09-24 20:03,3061,3062,1
48709,2010-09-24 22:08,2828,1826,1
49737,2010-09-26 4:18,1001,411,1
51512,2010-09-27 9:27,3091,1995,1
51513,2010-09-27 9:27,3091,2628,1
54696,2010-09-29 4:14,3100,2966,1
56446,2010-09-30 10:00,3167,257,1
56522,2010-09-30 11:01,3156,2639,1
59018,2010-10-01 6:50,3201,1848,1
59019,2010-10-01 6:50,3201,2689,1
59020,2010-10-01 6:50,3201,1,1
59021,2010-10-01 6:50,3201,2563,1
60212,2010-10-01 23:13,3038,305,1
60213,2010-10-01 23:13,3038,726,1
60286,2010-10-02 0:22,3207,2917,1
60919,2010-10-02 17:02,534,36,1
62187,2010-10-03 16:58,3276,2957,1
63529,2010-10-04 17:03,3286,1001,1
64695,2010-10-05 10:46,3270,3287,1
65209,2010-10-05 15:27,3338,3286,1
65383,2010-10-05 18:08,1904,1906,1
65866,2010-10-05 23:09,2291,369,1
66354,2010-10-06 14:00,3359,2066,1
66575,2010-10-06 17:05,203,10,1
67211,2010-10-07 1:33,3238,2777,1
67212,2010-10-07 1:33,3238,3331,1
67552,2010-10-07 8:27,3244,2956,1
67842,2010-10-07 11:40,2910,2768,1
68036,2010-10-07 14:21,3369,1576,1
68037,2010-10-07 14:21,3369,2742,1
68038,2010-10-07 14:21,3369,612,1
68409,2010-10-07 17:42,3200,1016,1
68410,2010-10-07 17:42,3200,3252,1
68438,2010-10-07 17:48,3331,2777,1
68439,2010-10-07 17:48,3331,3238,1
68816,2010-10-07 22:07,3333,2483,1
69573,2010-10-08 13:04,3392,3244,1
69793,2010-10-08 16:25,3287,3270,1
70012,2010-10-08 20:11,3395,3199,1
70711,2010-10-09 14:21,346,3372,1
71072,2010-10-09 19:06,134,3372,1
71553,2010-10-10 6:27,138,75,1
72473,2010-10-10 19:36,2197,1385,1
74418,2010-10-12 9:49,3460,1980,1
74639,2010-10-12 13:03,3458,2306,1
